CMDLINE /Users/Leisure/opt/anaconda3/envs/gymlab/bin/python apriori_dummy.py
MEM 0.023438 1636387859.3323
MEM 14.660156 1636387859.4326
MEM 33.761719 1636387859.5328
MEM 41.742188 1636387859.6332
MEM 54.082031 1636387859.7334
MEM 64.421875 1636387859.8336
MEM 80.917969 1636387859.9380
MEM 86.527344 1636387860.0416
MEM 86.527344 1636387860.1420
MEM 86.527344 1636387860.2424
MEM 86.527344 1636387860.3427
MEM 86.527344 1636387860.4479
MEM 86.542969 1636387860.5496
MEM 86.550781 1636387860.6498
MEM 86.550781 1636387860.7504
MEM 86.550781 1636387860.8507
MEM 86.550781 1636387860.9511
MEM 86.550781 1636387861.0551
MEM 86.550781 1636387861.1555
MEM 86.550781 1636387861.2557
MEM 86.550781 1636387861.3560
MEM 86.550781 1636387861.4612
MEM 86.550781 1636387861.5615
MEM 86.550781 1636387861.6618
MEM 86.550781 1636387861.7670
MEM 86.550781 1636387861.8698
MEM 86.550781 1636387861.9735
MEM 86.550781 1636387862.0738
MEM 86.550781 1636387862.1754
MEM 86.550781 1636387862.2756
MEM 86.550781 1636387862.3782
MEM 86.550781 1636387862.4785
MEM 86.550781 1636387862.5788
MEM 86.550781 1636387862.6790
MEM 86.550781 1636387862.7793
MEM 86.550781 1636387862.8796
MEM 86.550781 1636387862.9798
MEM 86.550781 1636387863.0800
MEM 86.550781 1636387863.1852
MEM 86.550781 1636387863.2876
MEM 86.550781 1636387863.3878
MEM 86.550781 1636387863.4881
MEM 86.550781 1636387863.5883
MEM 86.550781 1636387863.6899
MEM 86.550781 1636387863.7902
MEM 86.550781 1636387863.8905
MEM 86.550781 1636387863.9907
MEM 86.550781 1636387864.0909
MEM 86.550781 1636387864.1914
MEM 86.550781 1636387864.2958
MEM 86.550781 1636387864.3963
MEM 86.550781 1636387864.5017
MEM 86.550781 1636387864.6021
MEM 86.550781 1636387864.7024
MEM 86.550781 1636387864.8027
MEM 86.550781 1636387864.9029
MEM 86.550781 1636387865.0065
MEM 86.550781 1636387865.1068
MEM 86.550781 1636387865.2070
MEM 86.550781 1636387865.3072
MEM 86.550781 1636387865.4076
MEM 86.550781 1636387865.5128
MEM 86.550781 1636387865.6130
MEM 86.550781 1636387865.7182
MEM 86.550781 1636387865.8234
MEM 86.550781 1636387865.9286
MEM 86.550781 1636387866.0289
MEM 86.550781 1636387866.1292
MEM 86.550781 1636387866.2295
MEM 86.550781 1636387866.3298
MEM 86.550781 1636387866.4301
MEM 86.550781 1636387866.5305
MEM 86.550781 1636387866.6317
MEM 86.550781 1636387866.7321
MEM 86.550781 1636387866.8373
MEM 86.550781 1636387866.9398
MEM 86.550781 1636387867.0400
MEM 86.550781 1636387867.1402
MEM 86.550781 1636387867.2407
MEM 86.550781 1636387867.3412
MEM 86.550781 1636387867.4419
MEM 86.550781 1636387867.5423
MEM 86.550781 1636387867.6425
MEM 86.550781 1636387867.7428
MEM 86.550781 1636387867.8474
MEM 86.550781 1636387867.9477
MEM 86.550781 1636387868.0482
MEM 86.550781 1636387868.1504
MEM 86.550781 1636387868.2506
MEM 86.550781 1636387868.3508
MEM 86.550781 1636387868.4510
MEM 86.550781 1636387868.5512
MEM 86.550781 1636387868.6515
MEM 86.550781 1636387868.7517
MEM 86.550781 1636387868.8520
MEM 86.550781 1636387868.9522
MEM 86.550781 1636387869.0524
MEM 86.550781 1636387869.1529
MEM 86.550781 1636387869.2531
MEM 86.550781 1636387869.3533
MEM 86.550781 1636387869.4556
MEM 86.550781 1636387869.5567
