CMDLINE /Users/Leisure/opt/anaconda3/envs/gymlab/bin/python fp_growth.py
MEM 0.023438 1636387923.0200
MEM 15.488281 1636387923.1203
MEM 33.882812 1636387923.2232
MEM 42.941406 1636387923.3272
MEM 56.210938 1636387923.4275
MEM 65.410156 1636387923.5281
MEM 81.316406 1636387923.6283
MEM 83.480469 1636387923.7286
MEM 84.636719 1636387923.8289
MEM 85.320312 1636387923.9315
MEM 86.156250 1636387924.0344
MEM 86.808594 1636387924.1380
MEM 87.371094 1636387924.2383
MEM 88.449219 1636387924.3428
MEM 89.476562 1636387924.4431
MEM 89.996094 1636387924.5435
MEM 90.093750 1636387924.6485
MEM 91.527344 1636387924.7488
MEM 93.027344 1636387924.8491
MEM 93.031250 1636387924.9543
MEM 93.046875 1636387925.0545
MEM 93.082031 1636387925.1580
MEM 93.082031 1636387925.2584
MEM 93.082031 1636387925.3587
MEM 93.101562 1636387925.4589
MEM 93.101562 1636387925.5591
MEM 93.101562 1636387925.6594
MEM 93.710938 1636387925.7626
MEM 93.710938 1636387925.8655
MEM 93.710938 1636387925.9667
MEM 93.710938 1636387926.0678
MEM 93.972656 1636387926.1686
MEM 77.074219 1636387926.2689
